setting,g,base_rate_parameter,regime,budget_fraction,baseline,groups,coefficient_mse_difference,coefficient_mse_difference_se,coefficient_mse_ratio_of_means,gradient_mse_difference,gradient_mse_difference_se,gradient_mse_ratio_of_means,expected_cost_difference,expected_cost_difference_se,expected_cost_ratio_of_means,total_algorithm_cpu_seconds_difference,total_algorithm_cpu_seconds_difference_se,total_algorithm_cpu_seconds_ratio_of_means
g16_base0.5_calibrated,16,0.5,calibrated,0.75,whole_group_cv,256,-0.6235275364322911,0.04154132247895831,0.723447681613027,-0.02383967607598598,0.0030672433636524696,0.6632412588296085,-1.0894063429134349e-15,1.0468395388131165e-16,1.0,0.0119710849904116,1.6952746378365176e-05,22.591329626577014
g16_base0.5_calibrated,16,0.5,calibrated,0.75,rr_fixed,256,-0.12230995931615346,0.018729675886733257,0.9302452450775992,-0.0032500826701809876,0.0008370886154229441,0.9352598514084429,2.3592239273284576e-16,1.1747117462678135e-16,1.0,0.004958569661566511,9.610050950197082e-06,1.6552926248985995
g16_base0.5_overconfident,16,0.5,overconfident,0.25,whole_group_cv,256,-0.9241453042395213,0.20929251564153298,0.9636551562895663,-0.0387438116829939,0.014776266919428885,0.9533907586589588,-2.480654570646834e-16,3.812478009100372e-17,1.0,0.007565867010181508,1.1824400525446448e-05,15.068108112122047
g16_base0.5_overconfident,16,0.5,overconfident,0.25,rr_fixed,256,-6.610552837552807,0.26937267542893806,0.7875345599348512,-0.20766743142178193,0.019063183524568143,0.7923680821994619,8.673617379884035e-18,3.874500050256857e-17,1.0,0.004526737802855524,8.781306503457713e-06,2.2655364643876736
g16_base0.5_overconfident,16,0.5,overconfident,0.5,whole_group_cv,256,-0.4621515154426805,0.10448326891607443,0.9454734298094183,-0.019201364960376673,0.007318216596321713,0.9307016257844002,-4.961309141293668e-16,7.448584811197125e-17,1.0,0.00989851052438597,1.8170099798565317e-05,19.1953994431131
g16_base0.5_overconfident,16,0.5,overconfident,0.5,rr_fixed,256,-1.1411817892363827,0.0819904187333249,0.8753452875153951,-0.03653685092585145,0.005508733487405721,0.8759014193609063,3.8163916471489756e-17,8.404513127996592e-17,1.0,0.004689195844109261,9.557307969810486e-06,1.8150408161968263
g16_base0.5_overconfident,16,0.5,overconfident,0.75,whole_group_cv,256,-0.3017413380125943,0.06199326761814439,0.8931978818843597,-0.012025714274413134,0.004002457131440867,0.8697963738956277,-1.2420620087993939e-15,1.0540295787688378e-16,1.0,0.011984412103305277,1.8106203517529566e-05,22.742972346173133
g16_base0.5_overconfident,16,0.5,overconfident,0.75,rr_fixed,256,-0.08409448821603571,0.034399953058216075,0.9677501176875688,-0.0011371697980560465,0.0015563047500723886,0.9860422490180817,-2.7755575615628914e-17,1.2080882685148036e-16,1.0,0.004967811684986936,9.504747957974359e-06,1.6564418850950242
g16_base0.5_shifted,16,0.5,shifted,0.25,whole_group_cv,256,3.2373304055908254,0.35760619937477767,1.0840487864978026,0.10656098226331003,0.02602767144297116,1.090404542182288,-2.688821387764051e-16,3.8832621128991e-17,1.0,0.007578879878169009,1.1880753342108135e-05,15.108828947932725
g16_base0.5_shifted,16,0.5,shifted,0.25,rr_fixed,256,-11.939010688755108,0.46128628774584407,0.7776456295176867,-0.3375160651293855,0.024045455011772375,0.7920149143879045,-5.204170427930421e-17,3.631319812074268e-17,1.0,0.004526412552555432,8.384444424170377e-06,2.2609655366951733
g16_base0.5_shifted,16,0.5,shifted,0.5,whole_group_cv,256,1.6030336892915862,0.17808313051127808,1.1248556860931196,0.05231900986712483,0.012877422808471886,1.1331596997514704,-5.342948306008566e-16,7.626843961976078e-17,1.0,0.009916544386502257,1.86361629733102e-05,19.236995477408815
g16_base0.5_shifted,16,0.5,shifted,0.5,rr_fixed,256,-2.06061306935939,0.15627511338431663,0.8751350881406471,-0.04819855808807759,0.008666792718767939,0.9023177373390521,-6.938893903907228e-18,8.557380774442275e-17,1.0,0.004699854444517647,9.333076853754602e-06,1.8158832527101125
g16_base0.5_shifted,16,0.5,shifted,0.75,whole_group_cv,256,0.8713135808742103,0.1042791755759901,1.2035923305960803,0.026643193765039288,0.00712454292771752,1.203432730733051,-1.1310397063368782e-15,1.119360747102054e-16,1.0,0.011982384965872044,1.7420769959063168e-05,22.732479272694814
g16_base0.5_shifted,16,0.5,shifted,0.75,rr_fixed,256,0.1409447722323251,0.06612370716814735,1.0281323169338747,0.011278025319001971,0.003950810798786869,1.0770708337705,1.1796119636642288e-16,1.25505586841749e-16,1.0,0.004964174198633373,8.66031225521682e-06,1.655806703126921
g16_base0.8_calibrated,16,0.8,calibrated,0.25,whole_group_cv,256,-3.6381018396114575,0.39822044921246275,0.8553578986084821,-0.08942756732769258,0.019338061343337574,0.8601360941139878,-2.8275992658421956e-16,3.575696044649517e-17,1.0,0.0075534210235476676,1.2769554138690352e-05,15.033040375535538
g16_base0.8_calibrated,16,0.8,calibrated,0.25,rr_fixed,256,-4.8602061996784265,0.34657202737088566,0.8157235987394883,-0.11991909862009734,0.014089334291090463,0.8209845878684727,-1.3877787807814457e-17,3.799097996002657e-17,1.0,0.004623095525578468,8.655320866629157e-06,2.3328475946955396
g16_base0.8_calibrated,16,0.8,calibrated,0.5,whole_group_cv,256,-1.8083905598551544,0.1969354607162888,0.78430833804644,-0.0439843304827713,0.009377158177563355,0.7936267156896067,-5.447031714567174e-16,7.079212256874509e-17,1.0,0.0098684659035393,2.0381725588608565e-05,19.118185198265547
g16_base0.8_calibrated,16,0.8,calibrated,0.5,rr_fixed,256,-0.8421859036701451,0.10653307634313443,0.8864663695097506,-0.0190449774595996,0.004438713104413437,0.8987995339113214,-1.3877787807814457e-17,7.567818026324522e-17,1.0,0.004811417414609698,1.0276843352837013e-05,1.858917814889703
g16_base0.8_calibrated,16,0.8,calibrated,0.75,whole_group_cv,256,-1.0091047060060845,0.10980416774483932,0.6389240090795802,-0.024678984902772316,0.005164488609127085,0.6526206188478848,-1.4016565685892601e-15,1.05579261275382e-16,1.0,0.011863148359700463,1.904438468465176e-05,22.492655686073817
g16_base0.8_calibrated,16,0.8,calibrated,0.75,rr_fixed,256,-0.14519413179416604,0.05127267236273865,0.9248012463380098,-0.0030263303691682114,0.002103463354207414,0.9387266748483551,-1.942890293094024e-16,1.1858779417482691e-16,1.0,0.004984975614089868,9.344242697049407e-06,1.6709131378138917
g16_base0.8_overconfident,16,0.8,overconfident,0.25,whole_group_cv,256,1.00018828654148,0.5431974395250557,1.035460588502712,-0.0056591701227420455,0.019848555434467494,0.992700511128017,-2.7929047963226594e-16,3.791122029324501e-17,1.0,0.0075648765087044986,1.2787489874484025e-05,15.088241259737176
