adapter_id,mechanism,alpha,method,step_size,gradient_norm,reporting_examples,baseline_mean_nll,adapted_mean_nll,nll_change,nll_change_se
35,length,0.0,oracle_ipw,10.0,0.026346000612572345,256,1.970115694970462,1.9564738995420528,-0.013641795428409188,0.0006139049933966292
36,length,0.25,population_P,1.0,0.03465654741957208,256,1.970115694970462,1.9679194798409487,-0.002196215129513272,0.00010061981265342488
37,length,0.25,population_P,10.0,0.03465654741957208,256,1.970115694970462,1.949915852808339,-0.020199842162123036,0.0009907274888846566
38,length,0.25,sampled_Q,1.0,0.035014853850813106,256,1.970115694970462,1.968038616937057,-0.002077078033404887,9.367326473419475e-05
39,length,0.25,sampled_Q,10.0,0.035014853850813106,256,1.970115694970462,1.950872710406078,-0.019242984564384228,0.0009228053092934086
40,length,0.25,oracle_ipw,1.0,0.03500994491171994,256,1.970115694970462,1.9680453295005187,-0.002070365469943228,9.11263301439965e-05
41,length,0.25,oracle_ipw,10.0,0.03500994491171994,256,1.970115694970462,1.9508871666943877,-0.01922852827607427,0.0008981913983112458
42,length,0.5,population_P,1.0,0.046013166797500074,256,1.970115694970462,1.9671742253732374,-0.0029414695972244734,0.00013600692770502872
43,length,0.5,population_P,10.0,0.046013166797500074,256,1.970115694970462,1.9439468713155632,-0.02616882365489874,0.0013320164793689613
44,length,0.5,sampled_Q,1.0,0.04570177272909124,256,1.970115694970462,1.9673233265036565,-0.0027923684668055325,0.00012699106821703726
45,length,0.5,sampled_Q,10.0,0.04570177272909124,256,1.970115694970462,1.9450192290688468,-0.025096465901614906,0.001244642281877305
46,length,0.5,oracle_ipw,1.0,0.044477533035393875,256,1.970115694970462,1.9674119309208438,-0.0027037640496182973,0.00012034511406245211
47,length,0.5,oracle_ipw,10.0,0.044477533035393875,256,1.970115694970462,1.9456484928452216,-0.024467202125240416,0.001180823011585778
48,length,0.75,population_P,1.0,0.057615516017750175,256,1.970115694970462,1.9664337148647428,-0.003681980105719203,0.0001714103375291122
49,length,0.75,population_P,10.0,0.057615516017750175,256,1.970115694970462,1.938508945320964,-0.031606749649497834,0.0016703521978418362
50,length,0.75,sampled_Q,1.0,0.05678870935325323,256,1.970115694970462,1.9666122325651092,-0.0035034624053527034,0.0001603098033836079
51,length,0.75,sampled_Q,10.0,0.05678870935325323,256,1.970115694970462,1.9396315640763007,-0.030484130894161326,0.0015636214708096964
52,length,0.75,oracle_ipw,1.0,0.05433024806547761,256,1.970115694970462,1.966781768450602,-0.0033339265198599603,0.00014957930036084527
53,length,0.75,oracle_ipw,10.0,0.05433024806547761,256,1.970115694970462,1.940766875044762,-0.029348819925700036,0.0014613321510948832
54,length,1.0,population_P,1.0,0.0693403546343412,256,1.970115694970462,1.9656979653735498,-0.004417729596912014,0.0002067973911180128
55,length,1.0,population_P,10.0,0.0693403546343412,256,1.970115694970462,1.9336180484845698,-0.03649764648589236,0.0020058401949701815
56,length,1.0,sampled_Q,1.0,0.06808051430823737,256,1.970115694970462,1.9659053489839908,-0.0042103459864712145,0.00019360745422466734
57,length,1.0,sampled_Q,10.0,0.06808051430823737,256,1.970115694970462,1.9347229128180872,-0.03539278215237453,0.0018798632840428572
58,length,1.0,oracle_ipw,1.0,0.06439154426279146,256,1.970115694970462,1.9661548511897076,-0.003960843780754425,0.00017880550485109383
59,length,1.0,oracle_ipw,10.0,0.06439154426279146,256,1.970115694970462,1.9362511949159797,-0.03386450005448216,0.0017397097219532228
60,edit_length,0.0,population_P,1.0,0.023898576671489428,256,1.970115694970462,1.9686694616331661,-0.001446233337295729,6.535304553204989e-05
61,edit_length,0.0,population_P,10.0,0.023898576671489428,256,1.970115694970462,1.956399671274744,-0.013716023695717793,0.0006471326077349749
62,edit_length,0.0,sampled_Q,1.0,0.027785606235553005,256,1.970115694970462,1.9686318339905002,-0.0014838609799618242,6.704315520187395e-05
63,edit_length,0.0,sampled_Q,10.0,0.027785606235553005,256,1.970115694970462,1.9560684740870216,-0.014047220883440112,0.0006638678206183629
64,edit_length,0.0,oracle_ipw,1.0,0.02449068789264466,256,1.970115694970462,1.9688391800669436,-0.0012765149035181805,5.60733693737775e-05
65,edit_length,0.0,oracle_ipw,10.0,0.02449068789264466,256,1.970115694970462,1.9579154775450311,-0.01220021742543064,0.0005561848199666669
66,edit_length,0.25,population_P,1.0,0.03465654741957208,256,1.970115694970462,1.9679194798409487,-0.002196215129513272,0.00010061981265342488
67,edit_length,0.25,population_P,10.0,0.03465654741957208,256,1.970115694970462,1.949915852808339,-0.020199842162123036,0.0009907274888846566
68,edit_length,0.25,sampled_Q,1.0,0.03727584080888705,256,1.970115694970462,1.967901031413584,-0.0022146635568777596,0.00010122849273499434
69,edit_length,0.25,sampled_Q,10.0,0.03727584080888705,256,1.970115694970462,1.9497517628302234,-0.02036393214023833,0.00099675345173278
70,edit_length,0.25,oracle_ipw,1.0,0.03347179237551207,256,1.970115694970462,1.9681345040759743,-0.0019811908944877216,8.880656992830575e-05
71,edit_length,0.25,oracle_ipw,10.0,0.03347179237551207,256,1.970115694970462,1.9516855866544551,-0.01843010831600688,0.0008760403552711126
72,edit_length,0.5,population_P,1.0,0.046013166797500074,256,1.970115694970462,1.9671742253732374,-0.0029414695972244734,0.00013600692770502872
73,edit_length,0.5,population_P,10.0,0.046013166797500074,256,1.970115694970462,1.9439468713155632,-0.02616882365489874,0.0013320164793689613
74,edit_length,0.5,sampled_Q,1.0,0.047879138510056575,256,1.970115694970462,1.9671747058102902,-0.0029409891601717957,0.0001356239513508445
75,edit_length,0.5,sampled_Q,10.0,0.047879138510056575,256,1.970115694970462,1.9439226058580754,-0.02619308911238656,0.0013283640368702975
76,edit_length,0.5,oracle_ipw,1.0,0.043683512887086766,256,1.970115694970462,1.9674339613465741,-0.0026817336238880085,0.00012178747372379265
77,edit_length,0.5,oracle_ipw,10.0,0.043683512887086766,256,1.970115694970462,1.9459012930430792,-0.024214401927382966,0.00119515636658212
78,edit_length,0.75,population_P,1.0,0.057615516017750175,256,1.970115694970462,1.9664337148647428,-0.003681980105719203,0.0001714103375291122
79,edit_length,0.75,population_P,10.0,0.057615516017750175,256,1.970115694970462,1.938508945320964,-0.031606749649497834,0.0016703521978418362
80,edit_length,0.75,sampled_Q,1.0,0.05899839576839576,256,1.970115694970462,1.966452872233568,-0.003662822736894327,0.000170074338780466
81,edit_length,0.75,sampled_Q,10.0,0.05899839576839576,256,1.970115694970462,1.9385959151776515,-0.0315197797928104,0.0016575097816369172
82,edit_length,0.75,oracle_ipw,1.0,0.05443766190272626,256,1.970115694970462,1.9667375656887764,-0.003378129281685481,0.0001548309174291337
83,edit_length,0.75,oracle_ipw,10.0,0.05443766190272626,256,1.970115694970462,1.9405759179342303,-0.029539777036231396,0.0015119963774100596
84,edit_length,1.0,population_P,1.0,0.0693403546343412,256,1.970115694970462,1.9656979653735498,-0.004417729596912014,0.0002067973911180128
85,edit_length,1.0,population_P,10.0,0.0693403546343412,256,1.970115694970462,1.9336180484845698,-0.03649764648589236,0.0020058401949701815
86,edit_length,1.0,sampled_Q,1.0,0.07038952126806028,256,1.970115694970462,1.965735546495395,-0.004380148475066908,0.00020452898174509084
87,edit_length,1.0,sampled_Q,10.0,0.07038952126806028,256,1.970115694970462,1.933786390404018,-0.036329304566443774,0.0019840805680584168
88,edit_length,1.0,oracle_ipw,1.0,0.06546747353203167,256,1.970115694970462,1.9660453309803785,-0.0040703639900834115,0.00018788185656061032
89,edit_length,1.0,oracle_ipw,10.0,0.06546747353203167,256,1.970115694970462,1.935722609809804,-0.034393085160658185,0.0018263514094219902
