org_code,year,field,source_cell,source_sheet,reason
RM3,2021,burnout_score,BTN66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,burnout_n,CBD66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,n_resp,CHX66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,response_rate,CHW66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,wellbeing_action,BVI66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,wellbeing_action_n,CCQ66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,intent_leave,BWW66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,intent_leave_n,CEE66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,thinking_about_leaving_score,BUD66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,thinking_about_leaving_n,CAP66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,work_related_stress,BVJ66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RM3,2021,work_related_stress_n,CCR66,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,burnout_score,BTN79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,burnout_n,CBD79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,n_resp,CHX79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,response_rate,CHW79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,wellbeing_action,BVI79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,wellbeing_action_n,CCQ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,intent_leave,BWW79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,intent_leave_n,CEE79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,thinking_about_leaving_score,BUD79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,thinking_about_leaving_n,CAP79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,work_related_stress,BVJ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2021,work_related_stress_n,CCR79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,burnout_score,BCN79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,burnout_n,BKJ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,n_resp,BRJ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,response_rate,BRI79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,wellbeing_action,BEI79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,wellbeing_action_n,BLW79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,intent_leave,BGB79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,intent_leave_n,BNP79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,thinking_about_leaving_score,BDD79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,thinking_about_leaving_n,BJV79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,work_related_stress,BEJ79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2022,work_related_stress_n,BLX79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
RQ3,2023,burnout_score,AKX79,Acute&Acute Community Trusts,Blank or suppressed in source; not imputed
