setting,g,base_rate_parameter,regime,budget,method,expectation_mode,groups,coefficient_mse,coefficient_mse_se,conditional_bias_sq_mc_corrected,conditional_bias_sq_mc_corrected_se,gradient_mse,gradient_mse_se,gradient_bias_sq_mc_corrected,gradient_bias_sq_mc_corrected_se,expected_cost,expected_cost_se,complete_group_probability,complete_group_probability_se
g16_p0.5_overconfident,16,0.5,overconfident,0.5,proxy_completion,exact,256,8.480878623878748,0.1263515854516467,8.480878623878748,0.1263515854516467,0.2503611812595453,0.010512501789617098,0.2503611812595453,0.010512501789617098,0.0,0.0,0.0,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.5,whole_group_cv,exact,256,8.480878623878748,0.1263515854516467,3.919493131743383e-32,1.2176334716476558e-33,0.2503611812595453,0.010512501789617098,6.776930791291247e-34,3.290777482459931e-35,8.0,0.0,0.5,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.5,rr_fixed,exact,256,9.123499021976027,0.23177362098868942,9.094021428223957e-32,2.8557036128956836e-33,0.2614499014848381,0.010465332941128672,1.5706543377516746e-33,8.959305746792548e-35,8.0,6.847404859709148e-17,0.2754572298209363,0.0010648794019801637
g16_p0.5_overconfident,16,0.5,overconfident,0.5,rr_development,exact,256,8.089326475633767,0.16679438881338565,1.1440941555899713e-31,3.590838621910261e-33,0.2337512720993127,0.009245215536341883,1.9972235892256944e-33,1.0676659227420232e-34,8.0,6.494158101621501e-17,0.3637848052366708,0.0007256229174230206
g16_p0.5_overconfident,16,0.5,overconfident,0.5,ht_then_normalize,Monte Carlo audit masks,256,7.643995809361163,0.06330851632964964,1.2914706580847932,0.037354388399540465,0.1596967325171169,0.003049259518664983,0.026366116882147725,0.001182016668334904,8.0,0.0,1.52587890625e-05,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.5,partial_then_normalize,Monte Carlo audit masks,256,6.556484925974739,0.09411136762614801,1.8647613848832076,0.04543075907269579,0.152432171248278,0.003836557232727131,0.045889611646671644,0.00209424649769769,8.0,0.0,1.52587890625e-05,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.75,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.89650645535448e-17,1.0,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.75,proxy_completion,exact,256,8.480878623878748,0.1263515854516467,8.480878623878748,0.1263515854516467,0.2503611812595453,0.010512501789617098,0.2503611812595453,0.010512501789617098,0.0,0.0,0.0,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.75,whole_group_cv,exact,256,2.826959541292916,0.042117195150548896,1.3958663118455366e-31,4.215119980243327e-33,0.08345372708651513,0.0035041672632056993,2.6628433427148822e-33,1.5238226915314662e-34,12.0,0.0,0.75,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.75,rr_fixed,exact,256,2.5666769517204746,0.08187279625682214,8.366598884712466e-32,2.7451571264809076e-33,0.0706453713121545,0.003075620203179583,1.4858854683976912e-33,8.384135371726993e-35,12.0,1.0657959625866671e-16,0.4950551177627509,0.001526743059736271
g16_p0.5_overconfident,16,0.5,overconfident,0.75,rr_development,exact,256,2.447860030279306,0.06314359744946546,1.0398645942579512e-31,2.9956027112971313e-33,0.07031393009100546,0.0028336747449962765,1.9085726504407985e-33,1.026828168088744e-34,12.0,1.2744117831776678e-16,0.5836488846041813,0.000981712250775303
g16_p0.5_overconfident,16,0.5,overconfident,0.75,ht_then_normalize,Monte Carlo audit masks,256,3.357571307744478,0.038244166799720265,0.3224037555559977,0.014632813346431168,0.07239869844638352,0.001562130397602552,0.0059459683266988896,0.0003115305980806928,12.0,0.0,0.010022595757618546,0.0
g16_p0.5_overconfident,16,0.5,overconfident,0.75,partial_then_normalize,Monte Carlo audit masks,256,3.1234939384786164,0.04468579048832866,0.40510849371277347,0.01390634523644023,0.07085826439818485,0.0016889318270566457,0.009452733216584325,0.00045923779789774623,12.0,0.0,0.010022595757618546,0.0
g16_p0.5_shifted,16,0.5,shifted,0.25,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.284843552214572e-17,1.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.25,proxy_completion,exact,256,12.531129492565412,0.13378311616021865,12.531129492565412,0.13378311616021865,0.3546749105176283,0.011979421849239308,0.3546749105176283,0.011979421849239308,0.0,0.0,0.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.25,whole_group_cv,exact,256,37.59338847769624,0.401349348480656,7.321919212401864e-32,2.9427384255317524e-33,1.0640247315528848,0.035938265547717924,1.2952253483733542e-33,7.189477111464259e-35,4.0,0.0,0.25,0.0
g16_p0.5_shifted,16,0.5,shifted,0.25,rr_fixed,exact,256,51.63873255462532,0.9069233612886247,1.771459186824974e-31,4.042852032913479e-33,1.3991298473133535,0.04602012791740037,3.0711106176037154e-33,1.5388549431721685e-34,4.0,3.176533074800166e-17,0.11875830898506232,0.0005857849620698667
g16_p0.5_shifted,16,0.5,shifted,0.25,rr_development,exact,256,37.593388477696244,0.401349348480656,1.062395392070286e-31,4.967687137385653e-33,1.0640247315528848,0.035938265547717924,2.2220476599338157e-33,1.6348547575206199e-34,4.0,2.9188024520332483e-17,0.25,1.8815717891620968e-18
g16_p0.5_shifted,16,0.5,shifted,0.25,ht_then_normalize,Monte Carlo audit masks,256,15.190965667840848,0.05433981503930228,4.218748922031516,0.04733782186004625,0.31956889185348203,0.004975739191009577,0.09286245683404594,0.0030860691686327105,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.5_shifted,16,0.5,shifted,0.25,partial_then_normalize,Monte Carlo audit masks,256,15.585458897209499,0.143687453683049,8.407504963287746,0.11475157362736843,0.3910405615379047,0.009472016827961225,0.21411688171005835,0.007789029165318463,4.0,0.0,2.3283064365386963e-10,0.0
g16_p0.5_shifted,16,0.5,shifted,0.5,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.284843552214572e-17,1.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.5,proxy_completion,exact,256,12.531129492565412,0.13378311616021865,12.531129492565412,0.13378311616021865,0.3546749105176283,0.011979421849239308,0.3546749105176283,0.011979421849239308,0.0,0.0,0.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.5,whole_group_cv,exact,256,12.531129492565412,0.13378311616021868,5.604907527997572e-32,1.694645795525751e-33,0.3546749105176283,0.011979421849239308,1.00950465980079e-33,4.4552774098798784e-35,8.0,0.0,0.5,0.0
g16_p0.5_shifted,16,0.5,shifted,0.5,rr_fixed,exact,256,15.822463163974419,0.30827460326686124,1.4038446664797003e-31,3.2818738640180356e-33,0.4273619254282212,0.014892753820893353,2.539852349395049e-33,1.3221838698868458e-34,8.0,6.704734946433949e-17,0.27708644838894375,0.0011574640174140402
g16_p0.5_shifted,16,0.5,shifted,0.5,rr_development,exact,256,12.531129492565412,0.13378311616021868,7.904847693854754e-32,3.343547391936592e-33,0.35467491051762834,0.011979421849239311,1.5099607496263017e-33,9.444764345202701e-35,8.0,5.837604904066497e-17,0.5,3.7631435783241935e-18
g16_p0.5_shifted,16,0.5,shifted,0.5,ht_then_normalize,Monte Carlo audit masks,256,9.1999211945568,0.051693577310005234,1.8445264215044868,0.04005621608969867,0.2017800014943994,0.0031980145314839756,0.0385686927806146,0.0014677370006003093,8.0,0.0,1.52587890625e-05,0.0
g16_p0.5_shifted,16,0.5,shifted,0.5,partial_then_normalize,Monte Carlo audit masks,256,9.514853539332496,0.09332235953470515,2.9391405081009765,0.05756810942527342,0.23406641811191156,0.004606977471385088,0.07171036632376761,0.0026720257532644055,8.0,0.0,1.52587890625e-05,0.0
g16_p0.5_shifted,16,0.5,shifted,0.75,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.284843552214572e-17,1.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.75,proxy_completion,exact,256,12.531129492565412,0.13378311616021865,12.531129492565412,0.13378311616021865,0.3546749105176283,0.011979421849239308,0.3546749105176283,0.011979421849239308,0.0,0.0,0.0,0.0
g16_p0.5_shifted,16,0.5,shifted,0.75,whole_group_cv,exact,256,4.17704316418847,0.044594372053406224,2.0390847938389155e-31,5.9837742488336574e-33,0.11822497017254277,0.003993140616413103,4.035123466519374e-33,2.5419100672144313e-34,12.0,0.0,0.75,0.0
g16_p0.5_shifted,16,0.5,shifted,0.75,rr_fixed,exact,256,4.824843798000899,0.11327387113771548,1.2333581942406242e-31,3.4225732479137706e-33,0.129561358452116,0.004929625673512935,2.2452602275728853e-33,1.254717559989052e-34,12.0,1.056686428302021e-16,0.49554545747213485,0.0016503992865705708
g16_p0.5_shifted,16,0.5,shifted,0.75,rr_development,exact,256,4.177043164188472,0.04459437205340623,2.113716762152416e-31,6.04118626977931e-33,0.1182249701725428,0.003993140616413105,4.099829304620285e-33,2.889160608105868e-34,12.0,1.175772115142899e-16,0.75,7.526287156648387e-18
g16_p0.5_shifted,16,0.5,shifted,0.75,ht_then_normalize,Monte Carlo audit masks,256,4.339854009759351,0.03584462599101383,0.5132499842545636,0.01728526678508957,0.09903043847614204,0.0016330244168688789,0.00995541427617418,0.00045825750406511766,12.0,0.0,0.010022595757618546,0.0
g16_p0.5_shifted,16,0.5,shifted,0.75,partial_then_normalize,Monte Carlo audit masks,256,4.438899833274627,0.04694454955056014,0.637711862724685,0.018765499908235995,0.10706911851539808,0.001938176582976619,0.014573677890313046,0.0005897294725013464,12.0,0.0,0.010022595757618546,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.25,full,exact,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.31396435747594e-17,1.0,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.25,proxy_completion,exact,256,8.397551292411574,0.17454244664427354,8.397551292411574,0.17454244664427354,0.2150070282623286,0.009177365587783228,0.2150070282623286,0.009177365587783228,0.0,0.0,0.0,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.25,whole_group_cv,exact,256,25.192653877234722,0.5236273399328206,7.760975756388795e-32,6.065987810985541e-33,0.6450210847869857,0.027532096763349688,1.3858122621085351e-33,1.451317457914146e-34,4.0,0.0,0.25,0.0
g16_p0.8_calibrated,16,0.8,calibrated,0.25,rr_fixed,exact,256,25.119498194025624,0.8563290062768437,1.1375179745760003e-31,5.3389891230686565e-33,0.6468361637709503,0.032439485422994276,2.0248869512058405e-33,1.419920998659806e-34,4.0,3.2470790508107503e-17,0.11162644136639224,0.000576069919142994
