scenario,alpha,relative_bias,absolute_bias,derivative_squared,oracle_selection_bias
aligned,0.5750000000000001,0.3522957141442455,0.7919595949289332,-0.11351195021033636,0.0
aligned,0.58,0.3514920306708883,0.7919595949289332,-0.11273825526279418,0.0
aligned,0.585,0.3506919958887944,0.7919595949289332,-0.11197156313712217,5.551115123125783e-17
aligned,0.59,0.34989558507357177,0.7919595949289333,-0.11121179492469865,2.220446049250313e-16
aligned,0.595,0.34910277372310466,0.7919595949289332,-0.1104588727795639,0.0
aligned,0.6,0.34831353755506883,0.7919595949289333,-0.10971271990179134,0.0
aligned,0.605,0.3475278525044792,0.7919595949289333,-0.10897326052115577,0.0
aligned,0.61,0.3467456947212697,0.7919595949289333,-0.10824041988109107,2.220446049250313e-16
aligned,0.615,0.34596704056790667,0.7919595949289333,-0.10751412422293326,2.220446049250313e-16
aligned,0.62,0.34519186661703216,0.7919595949289333,-0.10679430077044128,2.220446049250313e-16
aligned,0.625,0.3444201496491404,0.7919595949289333,-0.10608087771459217,5.551115123125783e-17
aligned,0.63,0.343651866650283,0.7919595949289333,-0.10537378419864334,2.220446049250313e-16
aligned,0.635,0.3428869948098059,0.7919595949289333,-0.10467295030345777,2.220446049250313e-16
aligned,0.64,0.34212551151811493,0.7919595949289333,-0.10397830703308662,0.0
aligned,0.645,0.34136739436447194,0.7919595949289333,-0.1032897863006042,0.0
aligned,0.65,0.3406126211348184,0.7919595949289333,-0.10260732091419014,2.220446049250313e-16
aligned,0.655,0.3398611698096284,0.7919595949289332,-0.10193084456345447,0.0
aligned,0.66,0.33911301856178977,0.7919595949289332,-0.10126029180600035,0.0
aligned,0.665,0.3383681457545116,0.7919595949289333,-0.10059559805422005,5.551115123125783e-17
aligned,0.67,0.3376265299392602,0.7919595949289333,-0.09993669956231936,2.220446049250313e-16
aligned,0.675,0.3368881498537212,0.7919595949289332,-0.09928353341356659,0.0
aligned,0.68,0.336152984419788,0.7919595949289333,-0.09863603750776147,0.0
aligned,0.685,0.3354210127415763,0.7919595949289332,-0.09799415054891905,0.0
aligned,0.6900000000000001,0.3346922141034644,0.7919595949289333,-0.09735781203316601,0.0
aligned,0.6950000000000001,0.33396656796815766,0.7919595949289333,-0.09672696223684352,2.220446049250313e-16
aligned,0.7000000000000001,0.3332440539747794,0.7919595949289333,-0.09610154220481419,0.0
aligned,0.705,0.33252465193698505,0.7919595949289333,-0.09548149373896801,1.1102230246251565e-16
aligned,0.71,0.33180834184110036,0.7919595949289333,-0.09486675938692449,0.0
aligned,0.715,0.3310951038442841,0.7919595949289332,-0.09425728243092639,5.551115123125783e-17
aligned,0.72,0.3303849182727134,0.7919595949289332,-0.09365300687692187,0.0
aligned,0.725,0.3296777656197926,0.7919595949289332,-0.09305387744383149,2.2887833992611187e-16
aligned,0.73,0.32897362654438406,0.791959594928933,-0.09245983955299658,2.220446049250313e-16
aligned,0.735,0.32827248186906266,0.7919595949289332,-0.09187083931780479,5.551115123125783e-17
aligned,0.74,0.32757431257839037,0.7919595949289331,-0.09128682353349081,2.220446049250313e-16
aligned,0.745,0.32687909981721486,0.7919595949289332,-0.09070773966710802,1.1102230246251565e-16
aligned,0.75,0.3261868248889869,0.7919595949289333,-0.0901335358476678,0.0
aligned,0.755,0.3254974692541015,0.7919595949289333,-0.08956416085644392,0.0
aligned,0.76,0.32481101452825717,0.7919595949289333,-0.08899956411743873,2.220446049250313e-16
aligned,0.765,0.32412744248083825,0.7919595949289335,-0.08843969568800765,0.0
aligned,0.77,0.3234467350333148,0.7919595949289333,-0.08788450624963966,2.220446049250313e-16
aligned,0.775,0.32276887425766493,0.7919595949289333,-0.08733394709889057,0.0
aligned,0.78,0.32209384237481437,0.7919595949289332,-0.08678797013846636,0.0
aligned,0.785,0.32142162175309696,0.791959594928933,-0.08624652786845326,5.551115123125783e-17
aligned,0.79,0.3207521949067338,0.7919595949289333,-0.08570957337769307,0.0
aligned,0.795,0.32008554449433024,0.7919595949289333,-0.08517706033529962,0.0
aligned,0.8,0.31942165331739275,0.7919595949289332,-0.08464894298231468,0.0
aligned,0.805,0.31876050431886316,0.7919595949289332,-0.0841251761235007,2.220446049250313e-16
aligned,0.81,0.31810208058167083,0.7919595949289333,-0.08360571511926722,0.0
aligned,0.8150000000000001,0.31744636532730286,0.7919595949289332,-0.08309051587772932,0.0
aligned,0.8200000000000001,0.31679334191439196,0.7919595949289332,-0.08257953484689527,0.0
aligned,0.8250000000000001,0.3161429938373206,0.7919595949289332,-0.0820727290069811,5.551115123125783e-17
aligned,0.8300000000000001,0.31549530472484305,0.7919595949289335,-0.08157005586284945,2.220446049250313e-16
aligned,0.835,0.3148502583387235,0.7919595949289333,-0.08107147343657113,5.551115123125783e-17
aligned,0.84,0.31420783857239143,0.7919595949289332,-0.0805769402601067,0.0
aligned,0.845,0.3135680294496128,0.7919595949289333,-0.08008641536810605,2.2887833992611187e-16
aligned,0.85,0.31293081512317633,0.7919595949289333,-0.07959985829082337,0.0
aligned,0.855,0.3122961798735976,0.7919595949289333,-0.07911722904714638,2.2887833992611187e-16
aligned,0.86,0.31166410810783685,0.7919595949289333,-0.0786384881377369,0.0
aligned,0.865,0.3110345843580333,0.7919595949289333,-0.07816359653828128,2.482534153247273e-16
aligned,0.87,0.3104075932802539,0.7919595949289333,-0.07769251569284834,0.0
aligned,0.875,0.30978311965325794,0.7919595949289333,-0.07722520750735315,5.551115123125783e-17
aligned,0.88,0.3091611483772751,0.7919595949289332,-0.0767616343431249,0.0
aligned,0.885,0.308541664472799,0.7919595949289331,-0.07630175901057634,5.551115123125783e-17
aligned,0.89,0.3079246530793949,0.791959594928933,-0.07584554476297403,2.220446049250313e-16
aligned,0.895,0.30731009945452153,0.7919595949289333,-0.07539295529030651,5.551115123125783e-17
aligned,0.9,0.30669798897236616,0.7919595949289333,-0.07494395471324942,0.0
aligned,0.905,0.3060883071226946,0.7919595949289333,-0.07449850757722562,2.482534153247273e-16
aligned,0.91,0.3054810395097139,0.7919595949289332,-0.07405657884655859,0.0
aligned,0.915,0.3048761718509489,0.7919595949289333,-0.07361813389871728,5.551115123125783e-17
aligned,0.92,0.30427368997613136,0.7919595949289333,-0.0731831385186515,0.0
aligned,0.925,0.3036735798261028,0.7919595949289333,-0.0727515588932153,2.2887833992611187e-16
aligned,0.93,0.3030758274517297,0.7919595949289332,-0.07232336160567747,0.0
aligned,0.935,0.3024804190128315,0.7919595949289333,-0.07189851363031746,2.2887833992611187e-16
aligned,0.9400000000000001,0.30188734077712115,0.7919595949289332,-0.07147698232710537,2.220446049250313e-16
aligned,0.9450000000000001,0.30129657911915786,0.7919595949289332,-0.07105873543646396,1.1102230246251565e-16
aligned,0.9500000000000001,0.30070812051931206,0.791959594928933,-0.07064374107411213,0.0
aligned,0.9550000000000001,0.30012195156274235,0.7919595949289331,-0.07023196772598778,5.551115123125783e-17
aligned,0.96,0.29953805893838426,0.7919595949289333,-0.069823384243249,0.0
aligned,0.965,0.29895642943795053,0.7919595949289333,-0.06941795983735206,0.0
aligned,0.97,0.29837704995494324,0.7919595949289333,-0.06901566407520511,2.2887833992611187e-16
aligned,0.975,0.297799907483677,0.7919595949289333,-0.06861646687439589,0.0
aligned,0.98,0.2972249891183134,0.7919595949289333,-0.06822033849849277,0.0
aligned,0.985,0.29665228205190664,0.7919595949289333,-0.06782724955241713,2.482534153247273e-16
aligned,0.99,0.2960817735754599,0.7919595949289333,-0.06743717097788669,0.0
aligned,0.995,0.29551345107699256,0.7919595949289335,-0.06705007404892765,2.2887833992611187e-16
aligned,1.0,0.2949473020406178,0.7919595949289333,-0.06666593036745536,0.0
untouched_selected,0.0,0.0,0.0,0.0,2.7755575615628914e-17
untouched_selected,0.005,0.004805254779215698,0.004947726750741334,0.009147872405956941,2.7755575615628914e-17
untouched_selected,0.01,0.009519481290404095,0.00989545350148244,0.017780762062816476,2.7755575615628914e-17
untouched_selected,0.015,0.014145234920234864,0.014843180252223552,0.02592733938475639,2.237726045655905e-16
untouched_selected,0.02,0.018684976547868173,0.01979090700296466,0.03361452067816345,2.7755575615628914e-17
untouched_selected,0.025,0.023141076862450715,0.024738633753705982,0.04086758756976671,2.237726045655905e-16
untouched_selected,0.03,0.027515820446687024,0.02968636050444732,0.0477102974252883,2.237726045655905e-16
untouched_selected,0.035,0.03181140964110339,0.03463408725518843,0.054164985505785496,2.7755575615628914e-17
untouched_selected,0.04,0.03602996820258686,0.039581814005929535,0.06025265954128884,2.7755575615628914e-17
untouched_selected,0.045,0.040173544769831225,0.04452954075667064,0.06599308734038314,0.0
untouched_selected,0.05,0.04424411614744807,0.04947726750741176,0.07140487799934107,0.0
untouched_selected,0.055,0.04824359041968981,0.0544249942581533,0.07650555722467912,0.0
untouched_selected,0.06,0.05217380990398283,0.059372721008894194,0.08131163723801976,0.0
untouched_selected,0.065,0.0560365539537876,0.06432044775963551,0.08583868169141994,0.0
untouched_selected,0.07,0.059833541619646644,0.06926817451037684,0.09010136598442957,2.220446049250313e-16
untouched_selected,0.075,0.0635664341767122,0.07421590126111795,0.09411353334069245,2.7755575615628914e-17
untouched_selected,0.08,0.06723683752648255,0.07916362801185929,0.09788824697154257,2.237726045655905e-16
untouched_selected,0.085,0.0708463044799734,0.08411135476260018,0.10143783862648215,2.7755575615628914e-17
untouched_selected,0.09,0.07439633692908826,0.08905908151334128,0.10477395380536944,2.237726045655905e-16
untouched_selected,0.095,0.07788838791250247,0.09400680826408284,0.10790759388435592,2.237726045655905e-16
untouched_selected,0.1,0.08132386358198336,0.09895453501482372,0.11084915538686736,2.7755575615628914e-17
untouched_selected,0.105,0.08470412507469129,0.10390226176556505,0.11360846661202842,2.7755575615628914e-17
untouched_selected,0.11,0.08803049029664538,0.10884998851630637,0.11619482181570544,2.237726045655905e-16
untouched_selected,0.115,0.09130423562223268,0.11379771526704748,0.11861701312362853,2.220446049250313e-16
untouched_selected,0.12,0.09452659751432178,0.1187454420177886,0.12088336034171346,2.7755575615628914e-17
untouched_selected,0.125,0.09769877406926676,0.12369316876852991,0.1230017388155994,2.7755575615628914e-17
untouched_selected,0.13,0.10082192649082608,0.12864089551927102,0.12497960547944278,2.237726045655905e-16
untouched_selected,0.135,0.10389718049677694,0.13358862227001236,0.1268240232230524,2.237726045655905e-16
untouched_selected,0.14,0.10692562766177369,0.13853634902075324,0.12854168369642352,2.7755575615628914e-17
untouched_selected,0.145,0.10990832669979593,0.14348407577149458,0.13013892866154383,0.0
