n,alpha,method,repetitions,mse_full,mse_full_mcse,ci_low,ci_high,exact_mse_full,mse_own,bias_own_0,bias_own_1,mcse_mean_0,mcse_mean_1
1,0.5,self_normalized,10000,2.401432999999999,0.013620870439320405,2.3747360939389313,2.428129906061067,,2.8277079999999994,0.5552499999998108,0.5466000000000867,0.013446996910931161,0.006423696006742435
1,0.5,population_clipped,10000,3.2622451089695135,0.05721436862113249,3.150104946472094,3.374385271466933,3.132638888888888,3.3804742756361805,0.3137079365079516,0.2805849206349392,0.015407864969051216,0.009108408449793213
1,0.75,unweighted,10000,2.6818592499999996,0.01568034012719432,2.651125783350699,2.7125927166493002,2.6817187499999995,2.9614554999999996,0.555415000000334,0.5463599999999516,0.013802521281884467,0.0067052215503743025
1,0.75,oracle_ipw,10000,8.360731095679014,0.2569506979088816,7.857107727777606,8.864354463580423,7.782552083333335,8.31309706790124,0.043652777777824614,-0.024433333333327756,0.02576786269053353,0.012929030053718694
1,0.75,self_normalized,10000,2.6818592499999996,0.01568034012719432,2.651125783350699,2.7125927166493002,,2.9614554999999996,0.555415000000334,0.5463599999999516,0.013802521281884467,0.0067052215503743025
1,0.75,population_clipped,10000,3.47921037808642,0.06550658552312882,3.3508174704610876,3.6076032857117526,3.328582057823129,3.6068782848324523,0.31781111111088256,0.28134880952390506,0.01612260598736643,0.00909766836953983
1,1,unweighted,10000,3.100828,0.020565599282028783,3.0605194254072234,3.1411365745927764,3.1049999999999995,3.100828,0.5555799999996802,0.5461199999999424,0.014159051318270704,0.006995526306063747
1,1,oracle_ipw,10000,9.54778641975309,0.3206673685218565,8.91927837745025,10.176294462055928,8.847222222222225,9.54778641975309,0.05229999999999979,-0.02251111111113019,0.028126954750885426,0.012783751773008674
1,1,self_normalized,10000,3.100828,0.020565599282028783,3.0605194254072234,3.1411365745927764,,3.100828,0.5555799999996802,0.5461199999999424,0.014159051318270704,0.006995526306063747
1,1,population_clipped,10000,3.89601378180902,0.08064410123965572,3.737951343379295,4.054076220238746,3.7160147392290246,3.89601378180902,0.32191428571436553,0.2821126984126606,0.016971155085888243,0.009126706236290045
4,0,unweighted,10000,0.773046,0.007843777831725435,0.7576721954498181,0.7884198045501819,0.7779,1.1262134999999998,0.5677950000000913,0.5601549999999821,0.006367983504916756,0.002908360096918078
4,0,oracle_ipw,10000,2.5010746913580255,0.032349023892190305,2.4376706045293326,2.5644787781867184,2.520833333333333,1.453851080246914,0.007897222222234657,-0.0010361111111111408,0.010000707891067915,0.006736404461436101
4,0,self_normalized,10000,1.5366616550566892,0.0197228967307971,1.4980047774643268,1.5753185326490515,,1.3217712026757371,0.3420581428571896,0.3269865238095113,0.008799503436839665,0.005688975577220784
4,0,population_clipped,10000,1.1877337238599142,0.015154522347590554,1.1580308600586366,1.2174365876611917,1.1981802721088437,0.8907196365583273,0.3078424603175758,0.2996019841270168,0.007093670540532904,0.004506221433843425
4,0.25,unweighted,10000,0.6927429609375001,0.006343917657954724,0.6803088823279089,0.7051770395470913,0.6937593750000002,1.1572282734375001,0.5680462500000703,0.5601924999999499,0.0065438282458477525,0.0030425530718123034
4,0.25,oracle_ipw,10000,2.1267003255208334,0.02757282387773462,2.0726575907204734,2.1807430603211935,2.1499565972222223,1.541164388020834,0.008335416666745088,-0.0010208333333347336,0.010549226483432608,0.006545121828971013
4,0.25,self_normalized,10000,1.326656557023101,0.01612519650355054,1.295051171876142,1.3582619421700601,,1.3653176061302439,0.34249242857148987,0.32687641666661177,0.008979978094471916,0.0057869025670438876
4,0.25,population_clipped,10000,0.9336631543633077,0.011665212907068803,0.9107993370654529,0.9565269716611625,0.9434134956065756,0.9106386007918794,0.30818050595238344,0.2996291666666588,0.007256018332339521,0.0044660980113121855
4,0.5,unweighted,10000,0.7469320937499998,0.006388673949924191,0.7344102928081484,0.7594538946918512,0.7438374999999999,1.1896620937499995,0.5682975000000607,0.5602299999999716,0.006720224283148336,0.0031825074698073434
4,0.5,oracle_ipw,10000,1.9488444347993834,0.02808071987049817,1.893806223853207,2.0038826457455596,1.9748263888888893,1.6917416570216062,0.008773611111094315,-0.0010055555555501944,0.011328400412018737,0.006391449710063671
4,0.5,self_normalized,10000,1.2518691818339003,0.013016057665926718,1.2263577088086839,1.2773806548591167,,1.4108624735005668,0.34292671428574684,0.3267663095237892,0.00916226616629813,0.00589181609257466
