horizon,method,update,seeds,reference_success_mean,reference_success_seed_se,cheap_success_mean,mean_purchased_queries
48,partial_replacement,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,partial_replacement,25,10,0.056640625,0.00416870067541201,0.769140625,75.2
48,partial_replacement,50,10,0.081640625,0.00824435735326913,0.787890625,154.3
48,partial_replacement,75,10,0.087109375,0.010203715207533888,0.8015625,235.4
48,partial_replacement,100,10,0.101171875,0.010963046801974881,0.822265625,316.9
48,partial_replacement,125,10,0.109375,0.010416666666666666,0.833984375,400.5
48,partial_replacement,150,10,0.134765625,0.014467194728325587,0.841796875,479.0
48,partial_replacement,175,10,0.14921875,0.014021448568720628,0.852734375,561.4
48,partial_replacement,200,10,0.16484375,0.013250577326258907,0.8609375,647.1
48,partial_replacement,225,10,0.195703125,0.012081340757045438,0.87265625,737.0
48,partial_replacement,250,10,0.22265625,0.01659326283549374,0.872265625,822.4
48,partial_replacement,275,10,0.264453125,0.01800503959278755,0.8796875,914.3
48,partial_replacement,300,10,0.299609375,0.017576195881798404,0.884765625,1001.9
48,proxy,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,proxy,25,10,0.051953125,0.005144465173213129,0.779296875,0.0
48,proxy,50,10,0.062890625,0.007118717152519086,0.8109375,0.0
48,proxy,75,10,0.06015625,0.007619134811629058,0.833203125,0.0
48,proxy,100,10,0.054296875,0.0074446835202722945,0.855859375,0.0
48,proxy,125,10,0.04921875,0.0081148106515015,0.868359375,0.0
48,proxy,150,10,0.049609375,0.008338418045096543,0.876171875,0.0
48,proxy,175,10,0.052734375,0.01056614751493143,0.886328125,0.0
48,proxy,200,10,0.045703125,0.010335786261701112,0.895703125,0.0
48,proxy,225,10,0.052734375,0.013153619796796641,0.90625,0.0
48,proxy,250,10,0.04375,0.010048844469570174,0.91171875,0.0
48,proxy,275,10,0.040234375,0.008006489135230837,0.918359375,0.0
48,proxy,300,10,0.0359375,0.00949360736122822,0.923828125,0.0
48,rr_completion,0,10,0.049609375,0.0029144569382290875,0.7484375,0.0
48,rr_completion,25,10,0.074609375,0.0049221505654780725,0.755078125,80.7
48,rr_completion,50,10,0.1,0.0057113833852763815,0.774609375,156.4
