horizon,method,seed,shared_query_ceiling,update,actual_queries,actual_training_trajectories,reference_success,comparison,zero_query_proxy
24,naive_reward_ht,4,1058.2,300,985,2400,0.6953125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,5,1058.2,300,1010,2400,0.69140625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,6,1058.2,300,1002,2400,0.65234375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,7,1058.2,300,935,2400,0.68359375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,8,1058.2,300,959,2400,0.62109375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,naive_reward_ht,9,1058.2,300,954,2400,0.6953125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,0,1058.2,275,1016,2200,0.73046875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,1,1058.2,300,1031,2400,0.78515625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,2,1058.2,275,957,2200,0.76171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,3,1058.2,300,1052,2400,0.75,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,4,1058.2,300,1028,2400,0.765625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,5,1058.2,275,967,2200,0.73828125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,6,1058.2,300,1055,2400,0.71875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,7,1058.2,300,1005,2400,0.7421875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,8,1058.2,300,1035,2400,0.71875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
24,partial_replacement,9,1058.2,300,1026,2400,0.75,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,0,956.6,150,932,1200,0.30859375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,1,956.6,150,909,1200,0.32421875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,2,956.6,150,890,1200,0.27734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,3,956.6,150,929,1200,0.3203125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,4,956.6,150,930,1200,0.30078125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,5,956.6,150,934,1200,0.328125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,6,956.6,150,907,1200,0.2734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,7,956.6,150,929,1200,0.2734375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,8,956.6,150,908,1200,0.265625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,full,9,956.6,150,914,1200,0.30859375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,proxy,0,956.6,300,0,2400,0.046875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,1,956.6,300,0,2400,0.0390625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,2,956.6,300,0,2400,0.01953125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,3,956.6,300,0,2400,0.01171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,4,956.6,300,0,2400,0.0703125,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,5,956.6,300,0,2400,0.0390625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,6,956.6,300,0,2400,0.0,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,7,956.6,300,0,2400,0.0390625,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,8,956.6,300,0,2400,0.0,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,proxy,9,956.6,300,0,2400,0.09375,observed checkpoint under ceiling; unequal residual budget; no interpolation,True
48,whole_group_residual,0,956.6,300,939,2400,0.55859375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,1,956.6,300,886,2400,0.51171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,2,956.6,275,944,2200,0.5390625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,3,956.6,275,879,2200,0.51171875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,4,956.6,300,951,2400,0.578125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,5,956.6,300,911,2400,0.57421875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,6,956.6,275,910,2200,0.58984375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,7,956.6,275,946,2200,0.5078125,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,8,956.6,300,915,2400,0.4765625,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,whole_group_residual,9,956.6,300,903,2400,0.546875,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
48,rr_completion,0,956.6,300,932,2400,0.58984375,observed checkpoint under ceiling; unequal residual budget; no interpolation,False
