org_code,year,release_vintage,historical_value,value_in_2025_release,difference
RKL,2021,2023,5.356414147334752,5.348273284197219,0.008140863137533039
RKL,2022,2023,5.187350457616387,5.175293675552847,0.01205678206353955
RKL,2023,2023,5.330375509601212,5.319156697713258,0.011218811887953706
RL1,2021,2023,5.160054610178109,5.167140829185557,-0.0070862190074487685
RL1,2022,2023,5.043963490535083,5.049037862436894,-0.0050743719018102595
RL1,2023,2023,5.437446158195932,5.444232022457463,-0.006785864261530605
RL4,2021,2023,5.021349696589648,5.008849346344241,0.012500350245407077
RL4,2022,2023,4.948637531890872,4.934977417080917,0.013660114809955104
RL4,2023,2023,4.997069172373537,5.039510926272897,-0.04244175389936
RLQ,2021,2023,4.950361953104416,4.940761046532138,0.009600906572277523
RLQ,2022,2023,4.893086558166888,4.881905884562086,0.011180673604801683
RLQ,2023,2023,5.073460183921985,5.064208991676036,0.009251192245948836
RLT,2021,2023,4.709972769945014,4.700753622724186,0.009219147220828283
RLT,2022,2023,4.718861675846197,4.713326699896249,0.00553497594994834
RLT,2023,2023,5.079952569067819,5.073300908924342,0.0066516601434774
RLY,2021,2023,5.386003547283746,5.378157516876644,0.007846030407102411
RLY,2022,2023,5.469405669616652,5.460494144355031,0.0089115252616212
RLY,2023,2023,5.540849108169172,5.533987193205633,0.006861914963539384
RM1,2021,2023,4.411781909904461,4.401514857937998,0.010267051966462937
RM1,2022,2023,4.353996367990258,4.342415875339653,0.011580492650605123
RM1,2023,2023,4.687744359522527,4.677221240415157,0.01052311910736936
RMC,2021,2023,5.023382931415979,5.016624012606997,0.0067589188089813845
RMC,2022,2023,4.872580106031523,4.865721955299153,0.00685815073236995
RMC,2023,2023,4.939217484935593,4.932142742535529,0.007074742400064338
RMP,2021,2023,4.767369164294577,4.753456303079444,0.013912861215132466
RMP,2022,2023,4.984490514639377,4.975043764138065,0.009446750501312273
RMP,2023,2023,5.152552861781677,5.143006030168663,0.009546831613014284
RMY,2021,2023,4.888970917264519,4.869895880902629,0.01907503636189034
RMY,2022,2023,4.929666607083458,4.914124403209946,0.015542203873512683
RMY,2023,2023,5.027412762678839,5.016808593517169,0.010604169161670285
RN3,2021,2023,4.649660049696131,4.640109557920728,0.00955049177540257
RN3,2022,2023,4.763850397934127,4.7569745008986,0.006875897035526712
RN3,2023,2023,5.012202746659799,5.001740209314139,0.010462537345659939
RN5,2021,2023,4.807299805071988,4.797502638027316,0.00979716704467215
RN5,2022,2023,4.822844819366148,4.811322445194485,0.011522374171662797
RN5,2023,2023,4.962249385919161,4.95418438198161,0.008065003937551829
RN7,2021,2023,4.985656316615211,4.979058182478219,0.006598134136991618
RN7,2022,2023,4.98039253291151,4.970138728953146,0.010253803958363505
RN7,2023,2023,5.023105460546254,5.016465950196181,0.006639510350073152
RNA,2021,2023,4.630392694295922,4.622337824871331,0.00805486942459055
RNA,2022,2023,4.674747084114255,4.666455218348557,0.00829186576569807
RNA,2023,2023,4.797197855235142,4.789203402672055,0.007994452563086618
RNK,2021,2023,4.899135775470032,4.89042051824901,0.008715257221022732
RNK,2022,2023,4.719921399767111,4.713108468256527,0.006812931510584264
RNK,2023,2023,4.828392719315984,4.820699383723069,0.007693335592914963
RNN,2021,2023,4.866909889245617,4.857728856438158,0.009181032807458855
RNN,2022,2023,4.921894289805972,4.91181839615772,0.010075893648251899
RNN,2023,2023,5.09692146237418,5.086374289242835,0.010547173131344678
RNQ,2021,2023,4.632792947056842,4.622058897444431,0.010734049612411312
RNQ,2022,2023,4.560496343843341,4.548532839707979,0.011963504135361624
RNQ,2023,2023,4.856623017260198,4.848139870448501,0.00848314681169704
RNS,2021,2023,4.649329231563017,4.643300857549302,0.00602837401371481
RNS,2022,2023,4.703116109902591,4.695626495035093,0.007489614867497885
RNS,2023,2023,4.957234313381603,4.950263372493144,0.006970940888458621
RNU,2021,2023,5.119999862551191,5.105477075305609,0.01452278724558198
RNU,2022,2023,5.10640425195726,5.094029277702026,0.01237497425523415
RNU,2023,2023,5.337669131173046,5.325784679933609,0.011884451239437155
RNZ,2021,2023,4.613278423575756,4.604177069488868,0.009101354086888058
RNZ,2022,2023,4.683000592344435,4.671776759129534,0.011223833214900836
RNZ,2023,2023,4.952767577712616,4.941375693584414,0.011391884128202356
RP1,2021,2023,5.263044311544716,5.251579982656738,0.011464328887978326
RP1,2022,2023,5.305227935303465,5.293161366318233,0.012066568985232173
RP1,2023,2023,5.414866581000783,5.404798813878666,0.01006776712211721
RP4,2021,2023,4.967799799716141,4.971419886349703,-0.0036200866335622806
RP4,2022,2023,4.857878971927282,4.861370026203409,-0.003491054276127059
RP4,2023,2023,4.961543848913305,4.967260724917249,-0.005716876003944549
RP5,2021,2023,4.748348932886935,4.738480126189577,0.00986880669735779
RP5,2022,2023,4.900687045732378,4.891567439283589,0.009119606448789064
RP5,2023,2023,5.190935076303854,5.183121126914799,0.007813949389054997
RP6,2021,2023,5.168581194523751,5.164286206514936,0.004294988008815004
RP6,2022,2023,5.035590962973338,5.02669010262222,0.008900860351118034
RP6,2023,2023,5.205114509412625,5.19930603071097,0.00580847870165524
RP7,2021,2023,5.348670123420789,5.337180891413109,0.011489232007680705
RP7,2022,2023,5.180961182988434,5.167471502259359,0.013489680729074749
RP7,2023,2023,5.44002308697404,5.426401284986551,0.013621801987488524
RPA,2021,2023,4.565253941722246,4.552265703969308,0.012988237752938225
RPA,2022,2023,4.612192387693383,4.598046273621439,0.014146114071943217
RPA,2023,2023,4.747891627596916,4.738989389949971,0.008902237646944755
RPC,2021,2023,5.328658194271291,5.333027459097367,-0.004369264826075359
RPC,2022,2023,5.447472132106825,5.453637893420068,-0.006165761313242868
RPC,2023,2023,5.514481505224894,5.514623128832262,-0.0001416236073676913
RPG,2021,2023,5.180811213315781,5.168572122184998,0.01223909113078303
RPG,2022,2023,5.230150741329808,5.217423504369148,0.012727236960659916
RPG,2023,2023,5.329527961581878,5.318504398150552,0.011023563431325378
RPY,2021,2023,5.025272717753558,5.030827328226051,-0.00555461047249306
RPY,2022,2023,4.931336124428786,4.933182096727669,-0.0018459722988826144
RPY,2023,2023,5.049386060257906,5.050992099575426,-0.0016060393175196808
RQM,2021,2023,4.690886276264728,4.681215659663465,0.009670616601263227
RQM,2022,2023,4.75847514697373,4.748736418171365,0.009738728802364705
RQM,2023,2023,4.946878683042121,4.93770117976832,0.009177503273801513
RQW,2021,2023,4.464466928450988,4.45708617472929,0.007380753721697886
RQW,2022,2023,4.505825821951042,4.494546800288611,0.011279021662430999
RQW,2023,2023,4.741722821693184,4.73281516821273,0.008907653480453526
RQX,2021,2023,4.872245862180819,4.862579684110055,0.009666178070763642
RQX,2022,2023,4.594646912585999,4.584270665078546,0.010376247507452696
RQX,2023,2023,4.809611014604403,4.804029452794003,0.0055815618104002596
RQY,2021,2023,4.966012985890414,4.953293850093491,0.012719135796922743
RQY,2022,2023,5.099446930839072,5.096310582944936,0.0031363478941361933
RQY,2023,2023,5.165935485532245,5.159317453479504,0.006618032052740475
RR7,2021,2023,4.894311392012409,4.884487157248178,0.009824234764231221
RR7,2022,2023,4.840123708826707,4.830280474611571,0.00984323421513622
RR7,2023,2023,5.123246395689419,5.114743247165526,0.00850314852389289
RR8,2021,2023,4.837065365789086,4.826582935443497,0.010482430345589044
RR8,2022,2023,4.859895190423947,4.847992089211622,0.011903101212324962
RR8,2023,2023,5.059058663819919,5.048118131553252,0.010940532266666914
RRE,2021,2023,5.276390840805981,5.263257222632269,0.013133618173712058
RRE,2022,2023,5.383974028043961,5.370776611828942,0.013197416215018798
