org_code,org_name,benchmark_group,raw_selected,selected_somewhere_0_3000,selected_everywhere_0_3000,boundary_ties
RT5,Leicestershire Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTE,Gloucestershire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTF,Northumbria Healthcare NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RTH,Oxford University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTP,Surrey and Sussex Healthcare NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RTQ,Gloucestershire Health and Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RTR,South Tees Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RV3,Central and North West London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RV5,South London and Maudsley NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RV9,Humber Teaching NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RVJ,North Bristol NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RVN,Avon and Wiltshire Mental Health Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RVR,Epsom and St Helier University Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RVV,East Kent Hospitals University NHS Foundation Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RVW,North Tees and Hartlepool NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RW4,Mersey Care NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RW5,Lancashire and South Cumbria NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,1,1,stable organisation-code order
RWA,Hull University Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWD,United Lincolnshire Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWE,University Hospitals of Leicester NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWF,Maidstone and Tunbridge Wells NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWG,West Hertfordshire Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWH,East and North Hertfordshire Teaching NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWJ,Stockport NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWP,Worcestershire Acute Hospitals NHS Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWR,Hertfordshire Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RWV,Devon Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RWX,Berkshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RWY,Calderdale and Huddersfield NHS Foundation Trust,Acute&Acute Community Trusts,0,0,0,stable organisation-code order
RX1,Nottingham University Hospitals NHS Trust,Acute&Acute Community Trusts,1,1,1,stable organisation-code order
RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust","MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RX4,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
RX6,North East Ambulance Service NHS Foundation Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RX7,North West Ambulance Service NHS Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RX8,Yorkshire Ambulance Service NHS Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RX9,East Midlands Ambulance Service NHS Trust,Ambulance Trusts,0,0,0,stable organisation-code order
RXA,Cheshire and Wirral Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",0,0,0,stable organisation-code order
