org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
RGR,West Suffolk NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RGT,Cambridge University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RH5,Somerset NHS Foundation Trust,Acute&Acute Community Trusts,1,2023;2024;2025,0,0,Merger of RA4 and RH5; no comparable pre-2023 history
RH8,Royal Devon University Healthcare NHS Foundation Trust,Acute&Acute Community Trusts,1,2022;2023;2024;2025,0,0,Merger of RH8 and RBZ; no comparable pre-2022 history
RHA,Nottinghamshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RHM,University Hospital Southampton NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RHU,Portsmouth Hospitals University NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RHW,Royal Berkshire NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJ2,Lewisham and Greenwich NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJ6,Croydon Health Services NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJ7,St George's University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJ8,Cornwall Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJC,South Warwickshire University NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJE,University Hospitals of North Midlands NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJN,East Cheshire NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJR,Countess of Chester Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RJZ,King's College Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RK9,University Hospitals Plymouth NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RKB,University Hospitals Coventry and Warwickshire NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RKE,Whittington Health NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RKL,West London NHS Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RL4,The Royal Wolverhampton NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RLQ,Wye Valley NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RLT,George Eliot Hospital NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RLY,North Staffordshire Combined Healthcare NHS Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RM3,Northern Care Alliance NHS Foundation Trust,Acute&Acute Community Trusts,1,2022;2023;2024;2025,0,0,Merger of RM3 and RW6; no comparable pre-2022 history
RMC,Bolton NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RMY,Norfolk and Suffolk NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RN3,Great Western Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RN5,Hampshire Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RN7,Dartford and Gravesham NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNA,The Dudley Group NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNK,Tavistock and Portman NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNQ,Kettering General Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNS,Northampton General Hospital NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNU,Oxford Health NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RNZ,Salisbury NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RP1,Northamptonshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RP7,Lincolnshire Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RPA,Medway NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RPC,Queen Victoria Hospital NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RPG,Oxleas NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RPY,The Royal Marsden NHS Foundation Trust,Acute Specialist Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RQ3,Birmingham Women's and Children's NHS Foundation Trust,Acute&Acute Community Trusts,1,2025,0,1,CAMHS transfer from RQ3 to RXT
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RQW,The Princess Alexandra Hospital NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RQX,Homerton Healthcare NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
