year,state,state_name,n_complete,employed_all,n_mental_missing,finite_file_unweighted_mean,finite_file_variance,finite_file_standard_deviation,finite_file_weighted_ratio,sum_survey_weight,mean_survey_weight,kish_weight_concentration_n,minimum_survey_weight,maximum_survey_weight,observed_strata,observed_psus
2024,39,Ohio,4576,4626,50,8.497960372960373,7.421081698507399,2.724166239146833,8.343245251789222,5047680.9143043,1103.0771228811846,2444.136566481591,29.418834,10035.7317,55,4576
2024,40,Oklahoma,3371,3452,81,8.438050034608919,7.6943971469081855,2.7738776373351772,8.319702945150361,1712391.333921,507.97725717027583,2563.209829739294,44.8843774,2530.57788,25,3371
2024,41,Oregon,3060,3115,55,8.179193899782135,8.22260995296206,2.867509364058304,8.146088068167872,1896781.04329522,619.8630860441896,2329.2928460270577,9.66257572,3553.39169,5,3060
2024,44,Rhode Island,2689,2731,42,8.715135738192636,5.867118952898641,2.422213647244735,8.549108185125382,490083.9687227,182.255101793492,1624.8154203451154,11.9141761,1501.37293,15,2689
2024,45,South Carolina,3847,3907,60,8.683043063859284,6.4838897433149,2.5463483153949893,8.519476138969035,2304057.64592305,598.9232248305303,1447.422791149627,5.95773812,7280.65141,62,3847
2024,46,South Dakota,3024,3058,34,8.805004409171076,6.091716578463804,2.4681403076939943,8.602846020611368,417539.09976886,138.075099129914,564.9163781428903,1.35104436,3089.37853,40,3024
2024,48,Texas,6475,6563,88,8.50069498069498,7.338219165221481,2.7089147578359642,8.463546951488786,13265299.82599471,2048.6949538215767,2109.387137757615,8.18849321,49582.191,85,6475
2024,49,Utah,7036,7129,93,8.465273829827554,7.114437451073696,2.667290282491521,8.3715846072867,1619227.47933462,230.13466164505687,4455.583475546823,5.76199602,2039.4054,52,7036
2024,50,Vermont,3515,3555,40,8.580938833570412,6.364517342078171,2.522799504930618,8.435935212451808,315124.57302417,89.65137212636415,2288.5773760147586,3.92666663,731.571493,49,3515
2024,51,Virginia,2915,2943,28,8.594168096054888,6.636177157183014,2.5760778631832957,8.43825566657888,3905107.1475985,1339.6593988331047,1561.2048182604155,16.3677111,10966.5505,87,2915
2024,53,Washington,12530,12688,158,8.444160681032189,7.000273829994322,2.6458030595632627,8.318313372346507,3563041.84134629,284.3608811928404,8793.403491281722,3.50243821,2083.54462,89,12530
2024,54,West Virginia,2382,2414,32,8.26714245731878,8.568013580881395,2.927116940076258,8.072244905595552,700355.2670688,294.0198434377834,1658.479037702391,37.3523395,2466.86449,4,2382
2024,55,Wisconsin,5259,5365,106,8.5075743170438,7.281908994260417,2.6985012496310645,8.275769313386744,2601083.8322403,494.5966594866514,2919.5020845654713,20.7601219,6304.59733,42,5259
2024,56,Wyoming,1985,2005,20,8.636943744752308,6.4936589492562815,2.548265870990757,8.460539736891711,270715.6288978,136.38066946992444,1367.618709997477,11.144673,868.055612,4,1985
