analysis_stage,scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,state,ordinary_count_mean,validation_count_mean,mean_estimate,reference
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,37,20.0,3.84,8.554984326339207,8.525340283811179
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,38,20.0,4.12,8.562979115489274,8.852889474840696
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,39,20.0,4.04,8.554933015887421,8.497960372960375
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,40,20.0,3.96,8.555746496625199,8.43805003460892
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,41,20.0,3.52,8.550796804374928,8.179193899782135
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,44,20.0,2.96,8.559557258828875,8.715135738192634
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,45,20.0,4.04,8.558905553868577,8.683043063859284
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,46,20.0,3.36,8.561290329487546,8.805004409171076
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,48,20.0,3.76,8.55444588730151,8.50069498069498
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,49,20.0,3.96,8.554575132996266,8.465273829827554
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,50,20.0,3.68,8.559835245423649,8.580938833570412
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,51,20.0,3.76,8.557864241115071,8.594168096054887
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,53,20.0,3.88,8.555500681618003,8.444160681032189
post_primary_exploratory,unweighted_tilt_05,False,0.5,0.0,5,48,48,9,validation_only,54,20.0,4.24,8.55405969534885,8.267142457318778
