scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.18,0.0,8.581825439891352,8.805004409171076,46
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,38.78,0.0,8.55105221116469,8.50069498069498,48
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.6,0.0,8.546637748447056,8.465273829827554,49
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.56,0.0,8.558672691641538,8.580938833570412,50
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.48,0.0,8.560424219637785,8.594168096054887,51
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.18,0.0,8.543872889919433,8.444160681032189,53
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.74,0.0,8.535614007152196,8.267142457318778,54
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,40.0,0.0,8.551262401930304,8.5075743170438,55
unweighted_uniform,False,0.0,0.0,2,48,48,9,uniform_blind,39.16,0.0,8.565693431450327,8.636943744752307,56
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.537717641105793,8.35949741315595,01
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.565488611570942,8.635873229939312,02
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.555786203136613,8.519881085098477,04
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.533727855773229,8.29320987654321,05
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.546219952569318,8.431945521937767,06
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.55266728576082,8.508233957978423,08
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.555983271103848,8.553915436577434,09
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.570905504002859,8.68655574679671,10
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.578569280589605,8.715625586193958,11
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.556997623328545,8.560529336304098,12
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.546444101671979,8.443810730882975,13
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.563716583971335,8.658482845451683,15
unweighted_uniform,False,0.0,0.0,2,48,48,9,uncertainty,40.0,0.0,8.5535155304471,8.519994162288384,16
